WARN: Cannot extract OpenMP vendor from executable or commandline, assuming no OpenMP
SOMA benchmark version based on tag 0.5.0 gitlab.com/InnocentBug/SOMA

SOMA  Copyright (C) 2016-2017 Ludwig Schneider, Ulrich Welling, Marcel
Langenberg, Fabien Leonforte, Juan Orozco and more. This program comes with
ABSOLUTELY NO WARRANTY; see GNU Lesser General Public Licence v3 for details.
This is free software, and you are welcome to redistribute it under certain
conditions; see GNU Lesser General Public Licence v3 for details. 

 WARNING this is a crippled version of SOMA it is not to be used for ANY
scientific purpose save some very specialied benchmark tests. You may want to
use the original SOMA version, which can be found at
https://gitlab.com/InnocentBug/SOMA in the maint or master branch, or any
tagged version.

All 3 ranks use fixed seed 42.
timesteps="200"
rng-seed="42"
npoly="14000000"
gen-state-file
system is system info not available with C std 201112.
GIT version of SOMA is benchmark version based on tag 0.5.0 gitlab.com/InnocentBug/SOMA compiled on Jul 25 2023 19:55:50.
MPI version: Intel(R) MPI Library 2021.7 for Linux* OS
 3.1
INFO: At t= 0 particle_type test test passed
INFO: At t= 0 area51 violation test passed
INFO: At t= 0 area51 exact test passed
Running for 170 [s] | TPS 0.0566364 | steps-to-go: 198 | ETA: Wed Jul 26 14:12:10 2023
Running for 240 [s] | TPS 0.0229131 | steps-to-go: 197 | ETA: Wed Jul 26 15:38:22 2023
Running for 310 [s] | TPS 0.0176558 | steps-to-go: 196 | ETA: Wed Jul 26 16:21:16 2023
Running for 379 [s] | TPS 0.0158391 | steps-to-go: 195 | ETA: Wed Jul 26 16:42:35 2023
Running for 449 [s] | TPS 0.015064 | steps-to-go: 194 | ETA: Wed Jul 26 16:53:12 2023
Running for 519 [s] | TPS 0.0147038 | steps-to-go: 193 | ETA: Wed Jul 26 16:58:29 2023
Running for 588 [s] | TPS 0.0145304 | steps-to-go: 192 | ETA: Wed Jul 26 17:01:06 2023
Running for 658 [s] | TPS 0.0144453 | steps-to-go: 191 | ETA: Wed Jul 26 17:02:25 2023
Running for 728 [s] | TPS 0.0144017 | steps-to-go: 190 | ETA: Wed Jul 26 17:03:05 2023
Running for 797 [s] | TPS 0.0143809 | steps-to-go: 189 | ETA: Wed Jul 26 17:03:24 2023
Running for 867 [s] | TPS 0.0143698 | steps-to-go: 188 | ETA: Wed Jul 26 17:03:35 2023
Running for 936 [s] | TPS 0.0143643 | steps-to-go: 187 | ETA: Wed Jul 26 17:03:39 2023
Running for 1006 [s] | TPS 0.0143612 | steps-to-go: 186 | ETA: Wed Jul 26 17:03:42 2023
Running for 1076 [s] | TPS 0.0143594 | steps-to-go: 185 | ETA: Wed Jul 26 17:03:44 2023
Running for 1145 [s] | TPS 0.014358 | steps-to-go: 184 | ETA: Wed Jul 26 17:03:45 2023
Running for 1215 [s] | TPS 0.0143578 | steps-to-go: 183 | ETA: Wed Jul 26 17:03:45 2023
Running for 1285 [s] | TPS 0.014357 | steps-to-go: 182 | ETA: Wed Jul 26 17:03:46 2023
Running for 1354 [s] | TPS 0.014357 | steps-to-go: 181 | ETA: Wed Jul 26 17:03:46 2023
Running for 1424 [s] | TPS 0.0143578 | steps-to-go: 180 | ETA: Wed Jul 26 17:03:45 2023
Running for 1494 [s] | TPS 0.0143571 | steps-to-go: 179 | ETA: Wed Jul 26 17:03:46 2023
Running for 1563 [s] | TPS 0.0143567 | steps-to-go: 178 | ETA: Wed Jul 26 17:03:46 2023
Running for 1633 [s] | TPS 0.0143567 | steps-to-go: 177 | ETA: Wed Jul 26 17:03:46 2023
Running for 1703 [s] | TPS 0.0143554 | steps-to-go: 176 | ETA: Wed Jul 26 17:03:48 2023
Running for 1772 [s] | TPS 0.0143553 | steps-to-go: 175 | ETA: Wed Jul 26 17:03:47 2023
Running for 1842 [s] | TPS 0.0143551 | steps-to-go: 174 | ETA: Wed Jul 26 17:03:48 2023
Running for 1912 [s] | TPS 0.0143551 | steps-to-go: 173 | ETA: Wed Jul 26 17:03:48 2023
