WARN: Cannot extract OpenMP vendor from executable or commandline, assuming no OpenMP
=== Total time for iteration(0) 2.88808s

=== Total time for iteration(1) 2.76996s

=== Total time for iteration(2) 2.71361s

=== Total time for iteration(3) 2.64322s

=== Total time for iteration(4) 2.64023s

=== Total time for iteration(5) 2.67005s

=== Total time for iteration(6) 2.62396s

=== Total time for iteration(7) 2.64702s

=== Total time for iteration(8) 2.61422s

=== Total time for iteration(9) 2.65203s

=== Total time for iteration(10) 2.64708s

=== Total time for iteration(11) 2.65231s

=== Total time for iteration(12) 2.64198s

=== Total time for iteration(13) 2.68057s

=== Total time for iteration(14) 2.67668s

=== Total time for iteration(15) 2.65219s

=== Total time for iteration(16) 2.68151s

=== Total time for iteration(17) 2.68302s

=== Total time for iteration(18) 2.67463s

=== Total time for iteration(19) 2.67962s

=== Total time for iteration(20) 2.67691s

=== Total time for iteration(21) 2.66809s

=== Total time for iteration(22) 2.66685s

=== Total time for iteration(23) 2.71575s

=== Total time for iteration(24) 2.69821s

=== Total time for iteration(25) 2.68877s

=== Total time for iteration(26) 2.66706s

=== Total time for iteration(27) 2.70244s

=== Total time for iteration(28) 2.672s

=== Total time for iteration(29) 2.69892s

=== Total time for iteration(30) 2.70641s

=== Total time for iteration(31) 2.72536s

=== Total time for iteration(32) 2.71284s

=== Total time for iteration(33) 2.7425s

=== Total time for iteration(34) 2.7494s

=== Total time for iteration(35) 2.70797s

=== Total time for iteration(36) 2.71812s

=== Total time for iteration(37) 2.69888s

=== Total time for iteration(38) 2.75943s

=== Total time for iteration(39) 2.72187s

=== Total time for iteration(40) 2.72178s

=== Total time for iteration(41) 2.74991s

=== Total time for iteration(42) 2.73147s

=== Total time for iteration(43) 2.73521s

=== Total time for iteration(44) 2.73646s

=== Total time for iteration(45) 2.74238s

=== Total time for iteration(46) 2.73906s

=== Total time for iteration(47) 2.73137s

=== Total time for iteration(48) 2.75848s

=== Total time for iteration(49) 2.75722s

=== Total time for iteration(50) 2.80055s

=== Total time for iteration(51) 2.76777s

=== Total time for iteration(52) 2.76607s

=== Total time for iteration(53) 2.76536s

=== Total time for iteration(54) 2.75721s

=== Total time for iteration(55) 2.7518s
